Date,Time,Timestamp,Source_IP_Address,Destination_IP_Address,Source_Port,Destination_Port,Protocol,Packet_Length,Packet_Type,Traffic_Type,Anomaly_Scores,Attack_Type,Attack_Signature,Action_Taken,Severity_Level,User_Information,Device_Information,Network_Segment,Geo_location_Data,Log_Source
2020-03-31,07:54:09,2020-03-31 07:54:09,94.172.187.224,177.161.121.202,30168,1583,TCP,473,Data,DNS,75.58,DDoS,Known Pattern A,Blocked,Medium,Lakshit Sodhi,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.1; Trident/3.1),Segment C,"Aurangabad, Gujarat",Server
2022-11-15,21:28:39,2022-11-15 21:28:39,72.77.224.73,164.153.45.59,2014,58834,ICMP,1360,Data,DNS,7.47,DDoS,Known Pattern A,Ignored,High,Madhup Chokshi,Mozilla/5.0 (Windows CE; hr-HR; rv:1.9.2.20) Gecko/7943-04-08 19:55:01 Firefox/3.6.7,Segment B,"North Dumdum, Nagaland",Server
2021-08-16,21:52:09,2021-08-16 21:52:09,203.205.50.33,152.244.106.69,53622,24612,TCP,820,Data,FTP,57.39,Malware,Known Pattern B,Logged,Medium,Kanav Date,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 10.0; Trident/4.1),Segment B,"Aizawl, Himachal Pradesh",Server
2022-10-21,08:17:17,2022-10-21 08:17:17,100.15.91.129,137.131.64.88,12119,48786,ICMP,1114,Control,HTTP,90.93,DDoS,Known Pattern B,Logged,Low,Saanvi Rao,"Mozilla/5.0 (iPad; CPU iPad OS 4_2_1 like Mac OS X) AppleWebKit/531.2 (KHTML, like Gecko) FxiOS/18.8q1374.0 Mobile/61Y122 Safari/531.2",Segment C,"Indore, Rajasthan",Server
2022-06-15,08:15:58,2022-06-15 08:15:58,59.48.158.135,213.125.91.89,23947,35328,ICMP,108,Data,HTTP,90.5,Intrusion,Known Pattern A,Logged,Low,Chirag Halder,Opera/8.32.(Windows NT 6.0; niu-NU) Presto/2.9.187 Version/11.00,Segment C,"Faridabad, Bihar",Firewall
2022-03-23,22:04:12,2022-03-23 22:04:12,109.122.128.86,70.136.222.78,56878,28687,UDP,1206,Data,HTTP,65.68,Intrusion,Known Pattern A,Ignored,Medium,Miraan Kala,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/4909-04-14 20:54:03 Firefox/3.6.12,Segment B,"Bettiah, Gujarat",Server
2020-11-17,13:15:00,2020-11-17 13:15:00,119.0.118.188,216.166.15.56,13911,50653,UDP,622,Control,FTP,78.39,Malware,Known Pattern B,Logged,Low,Kavya Chatterjee,Opera/8.91.(X11; Linux x86_64; ks-IN) Presto/2.9.171 Version/12.00,Segment A,"Bhusawal, Karnataka",Firewall
2020-09-15,01:15:39,2020-09-15 01:15:39,84.107.16.153,48.126.83.198,44137,47075,TCP,917,Data,HTTP,42.4,DDoS,Known Pattern A,Blocked,Low,Miraya Chaudhary,Mozilla/5.0 (compatible; MSIE 7.0; Windows CE; Trident/3.1),Segment A,"Panchkula, Maharashtra",Firewall
2021-01-05,21:13:55,2021-01-05 21:13:55,50.177.148.124,19.237.98.70,63806,9466,TCP,411,Data,FTP,71.28,Intrusion,Known Pattern B,Blocked,Low,Sara Thakur,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; apn-IN) AppleWebKit/535.17.6 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6535.17.6",Segment C,"Hubli–Dharwad, Telangana",Server
2022-08-19,05:20:09,2022-08-19 05:20:09,217.69.138.89,14.236.229.239,41341,38938,ICMP,1400,Data,DNS,14.48,Intrusion,Known Pattern A,Blocked,Low,Hridaan Bhavsar,Opera/8.13.(X11; Linux x86_64; nl-AW) Presto/2.9.170 Version/11.00,Segment A,"Kirari Suleman Nagar, Rajasthan",Server
2022-06-11,09:03:45,2022-06-11 09:03:45,99.122.151.132,117.254.8.239,32529,45625,TCP,574,Data,FTP,29.57,Intrusion,Known Pattern A,Blocked,High,Zara Datta,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2836-10-04 11:40:59 Firefox/3.8,Segment A,"Bettiah, Arunachal Pradesh",Firewall
2022-04-07,17:30:00,2022-04-07 17:30:00,109.19.142.64,148.144.61.214,25287,22906,TCP,429,Data,FTP,22.4,DDoS,Known Pattern A,Blocked,Low,Anay Shenoy,"Mozilla/5.0 (Linux; Android 2.3) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/20.0.871.0 Safari/536.1",Segment B,"Raipur, Uttarakhand",Server
2020-12-25,14:10:41,2020-12-25 14:10:41,146.112.151.130,15.103.218.139,30088,23611,TCP,1172,Control,HTTP,25.55,DDoS,Known Pattern B,Logged,Medium,Mahika Walla,"Mozilla/5.0 (Windows; U; Windows 95) AppleWebKit/533.39.4 (KHTML, like Gecko) Version/5.1 Safari/533.39.4",Segment A,"Ambattur, Chhattisgarh",Server
2023-02-13,14:43:23,2023-02-13 14:43:23,5.41.29.148,27.120.58.142,20671,26556,UDP,460,Control,FTP,69.7,Malware,Known Pattern A,Blocked,High,Vivaan Anand,Opera/8.63.(Windows NT 6.0; or-IN) Presto/2.9.168 Version/10.00,Segment B,"Sonipat, Himachal Pradesh",Server
2023-10-06,19:09:07,2023-10-06 19:09:07,144.60.81.240,155.66.173.18,46294,24716,ICMP,342,Data,FTP,41.82,DDoS,Known Pattern A,Blocked,Medium,Ishita Ray,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/24.0.867.0 Safari/535.2",Segment C,"Purnia, Bihar",Firewall
2021-12-03,08:14:52,2021-12-03 08:14:52,14.246.205.46,146.26.10.187,40100,15122,UDP,1302,Control,FTP,40.36,Malware,Known Pattern B,Ignored,Low,Eshani Agrawal,Mozilla/5.0 (compatible; MSIE 8.0; Windows 95; Trident/3.1),Segment A,"Nanded, Tripura",Server
2022-02-03,21:34:39,2022-02-03 21:34:39,223.105.6.21,129.197.57.59,39921,43713,UDP,207,Control,HTTP,90.17,Malware,Known Pattern B,Blocked,Low,Samar Goel,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.2; Trident/4.1),Segment A,"Varanasi, Himachal Pradesh",Firewall
2022-04-17,17:06:33,2022-04-17 17:06:33,39.193.87.228,139.215.183.41,25253,8793,UDP,704,Data,DNS,27.35,Malware,Known Pattern B,Blocked,High,Divit Sani,Opera/8.39.(Windows NT 6.1; nds-DE) Presto/2.9.184 Version/10.00,Segment A,"Karaikudi, Goa",Server
2023-07-22,04:30:52,2023-07-22 04:30:52,137.221.204.183,130.30.192.138,29879,9884,TCP,219,Data,DNS,71.7,Intrusion,Known Pattern B,Blocked,Low,Samiha Datta,Opera/9.40.(X11; Linux i686; tl-PH) Presto/2.9.190 Version/10.00,Segment B,"Bongaigaon, Nagaland",Firewall
2021-07-07,05:47:26,2021-07-07 05:47:26,19.14.145.147,74.233.90.201,53727,25146,UDP,792,Control,FTP,96.97,DDoS,Known Pattern A,Ignored,Medium,Sahil Shenoy,Opera/8.56.(X11; Linux x86_64; tg-TJ) Presto/2.9.186 Version/10.00,Segment C,"Tirunelveli, Sikkim",Server
2022-12-20,00:13:33,2022-12-20 00:13:33,32.18.47.193,37.40.193.92,30684,29583,TCP,841,Control,HTTP,31.35,Intrusion,Known Pattern B,Blocked,High,Advik Singh,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/4.0),Segment C,"Mumbai, Mizoram",Firewall
2022-08-04,03:14:14,2022-08-04 03:14:14,157.172.112.62,44.150.85.89,58314,38693,TCP,1203,Data,HTTP,86.01,DDoS,Known Pattern A,Ignored,High,Vidur Goswami,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/3309-03-03 06:34:31 Firefox/3.6.14,Segment B,"Berhampur, Meghalaya",Firewall
2023-04-13,07:43:31,2023-04-13 07:43:31,179.176.66.27,157.236.196.90,38813,16885,UDP,1159,Data,FTP,84.59,Malware,Known Pattern A,Logged,High,Madhup Saha,"Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/534.35.6 (KHTML, like Gecko) Version/5.0.3 Safari/534.35.6",Segment C,"Delhi, West Bengal",Firewall
2022-06-15,18:27:00,2022-06-15 18:27:00,150.243.230.105,104.28.104.140,14105,62505,ICMP,1419,Control,HTTP,88.42,Intrusion,Known Pattern B,Logged,High,Renee Kadakia,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/54.0.842.0 Safari/532.1",Segment B,"Tirupati, Uttar Pradesh",Firewall
2022-07-24,04:58:38,2022-07-24 04:58:38,174.109.19.92,62.69.247.26,3810,33540,TCP,1376,Control,DNS,17.49,Intrusion,Known Pattern A,Ignored,Low,Hazel Divan,Opera/9.58.(X11; Linux x86_64; eo-US) Presto/2.9.171 Version/11.00,Segment A,"Nagercoil, Rajasthan",Firewall
2021-01-23,09:59:15,2021-01-23 09:59:15,40.91.141.39,137.159.41.93,30007,10630,TCP,1166,Data,FTP,57.22,Malware,Known Pattern B,Blocked,Low,Akarsh Savant,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/535.34.1 (KHTML, like Gecko) Version/4.0.5 Safari/535.34.1",Segment C,"Lucknow, Goa",Server
2021-12-12,05:19:57,2021-12-12 05:19:57,6.254.246.218,213.190.15.197,17703,41703,UDP,1040,Control,HTTP,42.97,Malware,Known Pattern A,Blocked,Medium,Jivin Contractor,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/5.0),Segment C,"Sultan Pur Majra, Rajasthan",Server
2020-01-25,17:34:38,2020-01-25 17:34:38,141.1.184.105,159.120.140.55,42430,2094,UDP,855,Data,FTP,95.72,Malware,Known Pattern B,Blocked,High,Pranay Tripathi,Mozilla/5.0 (Windows NT 4.0; zu-ZA; rv:1.9.1.20) Gecko/2927-12-29 13:44:58 Firefox/3.8,Segment C,"Bulandshahr, Kerala",Server
2022-05-13,06:43:21,2022-05-13 06:43:21,213.73.166.160,217.235.58.226,18038,4970,UDP,651,Control,FTP,82.42,Intrusion,Known Pattern A,Ignored,High,Taimur Loyal,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.0; Trident/4.1),Segment B,"Vijayanagaram, Madhya Pradesh",Firewall
2020-02-13,10:56:26,2020-02-13 10:56:26,78.8.191.138,201.75.127.112,47726,30703,UDP,159,Control,DNS,60.32,Intrusion,Known Pattern B,Blocked,Medium,Mohanlal Bhatt,"Mozilla/5.0 (Linux; Android 2.1) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/45.0.824.0 Safari/532.0",Segment B,"Warangal, Maharashtra",Server
2020-07-09,01:20:09,2020-07-09 01:20:09,44.168.3.137,124.1.214.75,31135,48804,UDP,1401,Data,DNS,28.84,Intrusion,Known Pattern A,Blocked,Medium,Sahil Gole,Opera/9.71.(Windows NT 5.01; hu-HU) Presto/2.9.169 Version/10.00,Segment B,"Bhagalpur, Manipur",Server
2022-12-14,10:58:30,2022-12-14 10:58:30,136.154.4.56,57.188.206.89,52820,28514,ICMP,965,Control,DNS,3.26,Intrusion,Known Pattern A,Logged,Medium,Dhruv Gopal,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_8; rv:1.9.6.20) Gecko/2351-07-18 17:39:34 Firefox/3.8,Segment A,"South Dumdum, Assam",Server
2022-12-06,23:02:16,2022-12-06 23:02:16,74.62.228.87,124.252.249.33,37479,58329,TCP,348,Control,DNS,4.65,Intrusion,Known Pattern A,Ignored,Low,Nirvaan Toor,"Mozilla/5.0 (Windows; U; Windows NT 6.0) AppleWebKit/532.34.5 (KHTML, like Gecko) Version/5.0.2 Safari/532.34.5",Segment C,"Pune, Assam",Firewall
2021-09-26,22:37:25,2021-09-26 22:37:25,82.135.204.15,50.60.204.29,59512,7699,ICMP,472,Data,HTTP,2.02,DDoS,Known Pattern B,Ignored,Medium,Nirvi Rege,Opera/9.98.(X11; Linux x86_64; sa-IN) Presto/2.9.190 Version/11.00,Segment C,"Mahbubnagar, Telangana",Server
2021-09-19,00:15:33,2021-09-19 00:15:33,213.240.164.253,81.203.125.2,30228,10505,UDP,798,Control,HTTP,93.09,Malware,Known Pattern A,Ignored,Medium,Anahita Dutta,"Mozilla/5.0 (iPad; CPU iPad OS 14_2 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) CriOS/40.0.856.0 Mobile/23H768 Safari/534.2",Segment C,"Etawah, Tamil Nadu",Firewall
2022-11-10,14:10:13,2022-11-10 14:10:13,29.52.6.185,1.19.189.169,17085,32428,ICMP,1489,Data,HTTP,10.2,DDoS,Known Pattern A,Logged,Low,Vidur Chakrabarti,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.1; Trident/3.0),Segment B,"Tezpur, West Bengal",Firewall
2021-04-11,17:41:45,2021-04-11 17:41:45,35.225.20.20,37.99.149.69,26047,59848,UDP,267,Data,FTP,82.44,Intrusion,Known Pattern B,Ignored,Medium,Divit Toor,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_6 like Mac OS X) AppleWebKit/533.0 (KHTML, like Gecko) CriOS/60.0.878.0 Mobile/08B453 Safari/533.0",Segment A,"Indore, Assam",Firewall
2021-08-08,09:45:33,2021-08-08 09:45:33,137.5.133.82,39.147.177.67,42790,44853,UDP,1066,Control,DNS,87.16,Intrusion,Known Pattern A,Ignored,High,Sahil Lala,Mozilla/5.0 (compatible; MSIE 6.0; Windows 95; Trident/3.1),Segment C,"Tirupati, Chhattisgarh",Firewall
2020-11-11,23:11:43,2020-11-11 23:11:43,110.29.81.220,138.19.23.219,12079,38787,TCP,1439,Data,DNS,33.17,DDoS,Known Pattern B,Logged,Medium,Jayan Brar,"Mozilla/5.0 (iPhone; CPU iPhone OS 3_1_3 like Mac OS X) AppleWebKit/531.2 (KHTML, like Gecko) FxiOS/14.2k7934.0 Mobile/76F712 Safari/531.2",Segment B,"Gandhinagar, Andhra Pradesh",Server
2020-02-24,22:10:41,2020-02-24 22:10:41,203.64.145.18,134.43.34.162,53317,8908,UDP,955,Data,FTP,43.25,DDoS,Known Pattern A,Ignored,Medium,Drishya Dara,Mozilla/5.0 (Android 3.2.6; Mobile; rv:40.0) Gecko/40.0 Firefox/40.0,Segment A,"South Dumdum, Meghalaya",Server
2022-12-01,02:42:31,2022-12-01 02:42:31,119.68.10.78,76.30.247.226,15660,4687,TCP,1177,Control,DNS,22.48,Intrusion,Known Pattern B,Ignored,High,Veer De,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/533.32.7 (KHTML, like Gecko) Version/5.0 Safari/533.32.7",Segment C,"Katni, Rajasthan",Firewall
2022-05-18,19:52:20,2022-05-18 19:52:20,136.199.47.32,12.59.20.139,36888,33800,ICMP,109,Control,FTP,39.58,Malware,Known Pattern A,Logged,Medium,Veer Mander,"Mozilla/5.0 (iPhone; CPU iPhone OS 3_1_3 like Mac OS X) AppleWebKit/531.0 (KHTML, like Gecko) FxiOS/13.5q8380.0 Mobile/31E565 Safari/531.0",Segment A,"Ozhukarai, Haryana",Server
2022-01-24,14:06:07,2022-01-24 14:06:07,163.81.203.69,110.54.64.248,6149,59071,UDP,284,Control,DNS,76.26,Intrusion,Known Pattern B,Blocked,High,Indranil Wagle,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2; rv:1.9.5.20) Gecko/3744-06-24 13:04:25 Firefox/9.0,Segment A,"Bhavnagar, Nagaland",Firewall
2020-12-14,02:33:02,2020-12-14 02:33:02,206.137.243.125,202.239.85.13,38196,14940,UDP,845,Data,DNS,53.45,Intrusion,Known Pattern B,Ignored,High,Abram Batra,Opera/9.38.(Windows NT 10.0; ml-IN) Presto/2.9.187 Version/10.00,Segment B,"Madanapalle, Goa",Firewall
2021-01-05,23:50:48,2021-01-05 23:50:48,21.103.19.167,79.144.221.23,61211,24951,UDP,922,Control,FTP,14.24,DDoS,Known Pattern B,Logged,Low,Jayant Venkatesh,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.0; Trident/4.0),Segment A,"Mira-Bhayandar, Uttarakhand",Firewall
2023-09-25,00:53:50,2023-09-25 00:53:50,63.116.117.245,175.137.2.165,60067,53373,ICMP,1157,Control,FTP,91.0,DDoS,Known Pattern A,Logged,Low,Kaira Tata,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; wae-CH) AppleWebKit/534.1.2 (KHTML, like Gecko) Version/3.0.5 Mobile/8B111 Safari/6534.1.2",Segment A,"Nagpur, Sikkim",Firewall
2021-06-11,13:35:07,2021-06-11 13:35:07,117.168.140.12,206.137.201.229,43050,62760,ICMP,323,Control,HTTP,22.47,Malware,Known Pattern A,Ignored,High,Heer Ravel,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/532.21.3 (KHTML, like Gecko) Version/4.1 Safari/532.21.3",Segment A,"Narasaraopet, Assam",Server
2023-07-16,09:32:08,2023-07-16 09:32:08,198.187.250.254,215.241.44.170,63442,50062,TCP,212,Control,HTTP,24.03,Malware,Known Pattern A,Ignored,High,Krish Dash,Opera/9.54.(Windows NT 5.0; lg-UG) Presto/2.9.160 Version/12.00,Segment A,"Bidar, Arunachal Pradesh",Firewall
2023-09-23,11:12:05,2023-09-23 11:12:05,144.210.135.71,33.222.205.131,13817,51738,ICMP,956,Data,DNS,27.53,DDoS,Known Pattern A,Blocked,High,Oorja Virk,Opera/8.98.(X11; Linux x86_64; nso-ZA) Presto/2.9.169 Version/11.00,Segment C,"Kottayam, Himachal Pradesh",Firewall
2020-11-07,04:22:40,2020-11-07 04:22:40,53.243.14.208,80.24.180.226,37622,52257,UDP,1375,Control,DNS,54.6,DDoS,Known Pattern A,Logged,Medium,Sara Singh,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_0 rv:3.0; ts-ZA) AppleWebKit/533.11.3 (KHTML, like Gecko) Version/4.0.2 Safari/533.11.3",Segment A,"Dehri, Goa",Firewall
2021-11-26,22:18:26,2021-11-26 22:18:26,184.15.206.218,152.205.70.244,38492,20718,TCP,574,Data,DNS,36.89,DDoS,Known Pattern A,Blocked,Medium,Mahika Zacharia,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; Trident/4.0),Segment C,"Farrukhabad, Haryana",Firewall
2020-11-30,23:31:28,2020-11-30 23:31:28,12.4.83.129,182.108.26.84,11366,7491,ICMP,1026,Data,DNS,53.16,Intrusion,Known Pattern A,Blocked,Medium,Nayantara Deol,Opera/9.23.(Windows NT 4.0; iu-CA) Presto/2.9.180 Version/12.00,Segment C,"Morbi, Meghalaya",Firewall
2020-12-01,23:30:02,2020-12-01 23:30:02,55.86.89.135,53.240.93.160,51398,57444,ICMP,1185,Control,DNS,20.92,Intrusion,Known Pattern A,Blocked,Low,Aniruddh Kapadia,Mozilla/5.0 (Windows NT 4.0; cv-RU; rv:1.9.2.20) Gecko/6226-07-20 14:51:07 Firefox/10.0,Segment C,"Vadodara, Tamil Nadu",Server
2020-03-08,10:07:21,2020-03-08 10:07:21,112.192.250.31,150.156.166.55,34324,28067,UDP,387,Control,FTP,85.85,DDoS,Known Pattern B,Blocked,Low,Keya Shan,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/532.1 (KHTML, like Gecko) CriOS/26.0.842.0 Mobile/62F008 Safari/532.1",Segment A,"Raipur, Meghalaya",Firewall
2020-08-13,12:06:24,2020-08-13 12:06:24,39.7.197.187,189.98.46.67,6561,54739,ICMP,1312,Control,FTP,16.76,Malware,Known Pattern B,Blocked,Medium,Damini Wagle,Mozilla/5.0 (Windows CE; nn-NO; rv:1.9.0.20) Gecko/8921-11-24 01:35:49 Firefox/9.0,Segment C,"Bidar, Chhattisgarh",Firewall
2022-01-07,22:48:26,2022-01-07 22:48:26,169.231.94.215,47.139.47.188,56545,43322,ICMP,1464,Data,HTTP,72.69,Malware,Known Pattern B,Logged,Low,Raunak Wable,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_4 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) FxiOS/16.1u9043.0 Mobile/20R972 Safari/534.2",Segment A,"Mira-Bhayandar, Tripura",Server
2021-03-23,13:27:46,2021-03-23 13:27:46,194.57.202.254,157.109.17.133,35887,53696,UDP,1256,Data,DNS,73.3,DDoS,Known Pattern B,Logged,Medium,Kashvi Barad,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_10_1) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/57.0.856.0 Safari/535.0",Segment A,"Hubli–Dharwad, Goa",Firewall
2022-10-13,04:57:54,2022-10-13 04:57:54,100.171.235.172,27.55.174.116,35403,29132,ICMP,1382,Control,HTTP,95.1,DDoS,Known Pattern B,Logged,Medium,Drishya Goel,Opera/8.58.(Windows NT 10.0; aa-DJ) Presto/2.9.169 Version/12.00,Segment B,"North Dumdum, Karnataka",Server
2022-08-04,20:00:53,2022-08-04 20:00:53,53.166.53.53,190.96.141.247,60722,56771,ICMP,731,Data,DNS,2.08,Malware,Known Pattern A,Logged,High,Saksham Acharya,"Mozilla/5.0 (iPad; CPU iPad OS 9_3_5 like Mac OS X) AppleWebKit/536.1 (KHTML, like Gecko) CriOS/25.0.818.0 Mobile/48J033 Safari/536.1",Segment B,"Sirsa, Himachal Pradesh",Firewall
2020-10-02,02:52:01,2020-10-02 02:52:01,44.209.166.54,213.163.64.138,54344,21332,UDP,485,Data,DNS,33.82,DDoS,Known Pattern B,Blocked,High,Lakshay Ratta,"Mozilla/5.0 (Windows 95) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/41.0.899.0 Safari/534.0",Segment C,"Madurai, Assam",Server
2022-01-22,10:00:03,2022-01-22 10:00:03,95.66.144.4,75.137.253.174,61240,12203,UDP,1003,Control,DNS,8.72,Malware,Known Pattern B,Blocked,Low,Riaan Bail,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_11_7; rv:1.9.2.20) Gecko/5275-07-29 08:41:09 Firefox/3.8,Segment B,"Karimnagar, Punjab",Server
2020-05-04,09:34:39,2020-05-04 09:34:39,119.138.72.221,124.172.89.42,27576,17204,UDP,475,Control,FTP,83.74,Intrusion,Known Pattern A,Ignored,Medium,Vardaniya Vaidya,Opera/8.46.(Windows NT 5.01; uz-UZ) Presto/2.9.177 Version/11.00,Segment A,"Alwar, Maharashtra",Firewall
2021-02-13,00:10:08,2021-02-13 00:10:08,21.117.24.46,89.65.102.50,28397,54363,TCP,1124,Data,DNS,84.0,DDoS,Known Pattern A,Logged,Medium,Raghav Bhatia,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; kk-KZ) AppleWebKit/533.20.6 (KHTML, like Gecko) Version/4.0.5 Mobile/8B118 Safari/6533.20.6",Segment B,"Nashik, Mizoram",Firewall
2021-03-08,14:20:34,2021-03-08 14:20:34,39.182.177.82,148.199.91.87,43577,62473,TCP,217,Data,DNS,87.55,Malware,Known Pattern B,Logged,Medium,Advik Sekhon,"Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/532.26.5 (KHTML, like Gecko) Version/5.1 Safari/532.26.5",Segment B,"Nellore, Jharkhand",Server
2020-06-09,21:55:17,2020-06-09 21:55:17,18.51.241.180,96.83.135.41,64484,49466,TCP,678,Data,HTTP,2.06,Intrusion,Known Pattern B,Blocked,Medium,Pihu Khatri,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1_1 like Mac OS X) AppleWebKit/531.1 (KHTML, like Gecko) FxiOS/12.0r8412.0 Mobile/17X398 Safari/531.1",Segment A,"Khandwa, Chhattisgarh",Firewall
2022-02-22,10:34:36,2022-02-22 10:34:36,99.155.205.146,71.141.187.122,45553,37566,UDP,1352,Data,FTP,94.14,Malware,Known Pattern B,Blocked,High,Jayant Kaul,Mozilla/5.0 (Android 1.1; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0,Segment A,"Thiruvananthapuram, Kerala",Server
2022-10-18,13:53:14,2022-10-18 13:53:14,205.243.84.43,216.25.46.110,11611,8226,ICMP,1233,Control,HTTP,92.65,Malware,Known Pattern A,Logged,Medium,Jhanvi Datta,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/33.0.879.0 Safari/535.0",Segment B,"Gangtok, Andhra Pradesh",Server
2021-09-17,01:13:40,2021-09-17 01:13:40,155.4.174.26,36.9.62.206,8817,13920,TCP,1092,Control,FTP,43.69,Intrusion,Known Pattern B,Ignored,High,Kismat Dutta,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/20.0.849.0 Safari/535.0",Segment A,"Indore, West Bengal",Firewall
2021-07-23,13:00:01,2021-07-23 13:00:01,198.182.227.61,166.35.232.179,41303,10976,UDP,1200,Control,FTP,96.21,Intrusion,Known Pattern B,Logged,Medium,Romil Reddy,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/535.2.2 (KHTML, like Gecko) Version/4.0 Safari/535.2.2",Segment B,"Siliguri, Haryana",Server
2021-08-13,18:20:33,2021-08-13 18:20:33,142.48.140.16,149.104.39.87,44386,8939,TCP,892,Control,FTP,97.26,DDoS,Known Pattern A,Ignored,Medium,Anvi Kala,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/13.0.875.0 Safari/533.2",Segment C,"Bardhaman, Rajasthan",Server
2020-11-14,00:44:03,2020-11-14 00:44:03,101.3.201.244,217.253.24.133,54315,35833,ICMP,109,Control,DNS,93.12,Malware,Known Pattern B,Ignored,Medium,Kartik Wali,"Mozilla/5.0 (Windows 95) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/33.0.802.0 Safari/531.2",Segment B,"Surat, Arunachal Pradesh",Firewall
2021-09-11,07:46:14,2021-09-11 07:46:14,91.118.46.175,199.237.201.52,47924,54343,TCP,713,Control,FTP,89.49,Malware,Known Pattern B,Ignored,Low,Divit Bera,Opera/8.86.(Windows NT 5.0; nr-ZA) Presto/2.9.160 Version/11.00,Segment A,"Patna, Tamil Nadu",Firewall
2022-10-15,18:24:57,2022-10-15 18:24:57,204.248.189.149,7.128.10.225,47598,25349,UDP,567,Data,HTTP,7.66,Malware,Known Pattern B,Logged,High,Dharmajan Thaker,Opera/8.39.(Windows NT 6.1; mai-IN) Presto/2.9.162 Version/10.00,Segment A,"Kurnool, Assam",Firewall
2021-06-18,06:38:07,2021-06-18 06:38:07,77.179.169.92,56.168.216.29,18311,14874,TCP,102,Data,FTP,79.86,DDoS,Known Pattern A,Blocked,High,Ira Sawhney,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/531.32.1 (KHTML, like Gecko) Version/5.0.2 Safari/531.32.1",Segment B,"Madanapalle, Gujarat",Firewall
2020-11-05,12:21:24,2020-11-05 12:21:24,41.218.209.52,79.41.112.130,14398,8711,ICMP,1315,Data,DNS,46.74,DDoS,Known Pattern A,Logged,Low,Hansh Srivastava,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_9 rv:5.0; sl-SI) AppleWebKit/531.32.6 (KHTML, like Gecko) Version/4.0 Safari/531.32.6",Segment C,"Guntur, Mizoram",Firewall
2022-07-11,09:10:57,2022-07-11 09:10:57,77.14.144.67,219.139.255.113,56981,20306,TCP,1401,Data,DNS,61.84,Malware,Known Pattern A,Ignored,Medium,Samaira Chaudry,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; Trident/3.0),Segment A,"Dehri, Nagaland",Server
